Datetime,Actual LSTM,Predicted LSTM,Actual Transformer,Predicted Transformer
2024-04-05 01:00:00+00:00,3.999999999999993,10.773043,3.999999999999993,9.667522
2024-04-05 02:00:00+00:00,13.000000000000004,8.763063,13.000000000000004,8.6962185
2024-04-05 03:00:00+00:00,7.0,14.848265,7.0,14.640469
2024-04-05 04:00:00+00:00,3.999999999999993,13.885128,3.999999999999993,11.898579
2024-04-05 05:00:00+00:00,8.0,12.853479,8.0,10.047363
2024-04-05 06:00:00+00:00,5.0,11.511202,5.0,11.395075
2024-04-05 07:00:00+00:00,19.4,4.9848003,19.4,8.485231
2024-04-05 08:00:00+00:00,3.999999999999993,16.099876,3.999999999999993,17.191984
2024-04-05 09:00:00+00:00,1.000000000000007,10.96368,1.000000000000007,3.1976604
2024-04-05 10:00:00+00:00,13.000000000000004,15.147724,13.000000000000004,13.533464
2024-04-05 11:00:00+00:00,16.0,12.909113,16.0,9.3522415
2024-04-05 12:00:00+00:00,6.0,17.796406,6.0,12.5168495
2024-04-05 13:00:00+00:00,18.800000000000004,15.052557,18.800000000000004,9.653532
2024-04-05 14:00:00+00:00,16.999999999999996,23.179825,16.999999999999996,23.006374
2024-04-05 15:00:00+00:00,15.0,20.730875,15.0,19.055038
2024-04-05 16:00:00+00:00,15.0,18.154585,15.0,17.363405
2024-04-05 17:00:00+00:00,12.0,17.107658,12.0,17.964893
2024-04-05 18:00:00+00:00,10.0,14.774677,10.0,17.475101
2024-04-05 19:00:00+00:00,16.0,12.811787,16.0,15.75655
2024-04-05 20:00:00+00:00,21.0,16.218805,21.0,19.253456
2024-04-05 21:00:00+00:00,13.000000000000004,20.387726,13.000000000000004,22.734694
2024-04-05 22:00:00+00:00,16.999999999999996,15.850134,16.999999999999996,19.751453
2024-04-05 23:00:00+00:00,16.0,18.474625,16.0,23.273876
2024-04-06 00:00:00+00:00,7.0,18.606009,7.0,23.119745
2024-04-06 01:00:00+00:00,8.0,11.982716,8.0,13.005005
2024-04-06 02:00:00+00:00,6.0,10.227505,6.0,10.252514
2024-04-06 03:00:00+00:00,8.0,8.395334,8.0,6.9532375
2024-04-06 04:00:00+00:00,6.0,9.480829,6.0,6.9972706
2024-04-06 05:00:00+00:00,8.0,9.270124,8.0,7.383688
2024-04-06 06:00:00+00:00,7.0,9.340168,7.0,7.2005405
2024-04-06 07:00:00+00:00,15.0,8.997618,15.0,7.8216877
2024-04-06 08:00:00+00:00,8.0,15.034254,8.0,18.22954
2024-04-06 09:00:00+00:00,8.0,13.13254,8.0,10.383148
2024-04-06 10:00:00+00:00,10.0,13.073673,10.0,11.733723
2024-04-06 11:00:00+00:00,10.999999999999996,14.393166,10.999999999999996,13.394428
2024-04-06 12:00:00+00:00,10.999999999999996,15.774471,10.999999999999996,14.441582
2024-04-06 13:00:00+00:00,8.0,16.476086,8.0,12.920052
2024-04-06 14:00:00+00:00,8.0,16.362514,8.0,12.423645
2024-04-06 15:00:00+00:00,20.0,16.412317,20.0,15.01363
2024-04-06 16:00:00+00:00,32.0,24.46993,32.0,24.402937
